Node,Pd,Qd,Vmax,Vmin,Gs,Bs,baseKV
1,0,0,1.1,0.9,0,0,69
2,0,0,1.1,0.9,0,0,230
3,741.0487,0,1.1,0.9,0,0,345
4,855.7651,0,1.1,0.9,0,0,138
5,314.7022,0,1.1,0.9,0,0,69
6,188.4841,0,1.1,0.9,0,0,345
7,0,0,1.1,0.9,0,0,230
