Node,Pd,Qd,Vmax,Vmin,Gs,Bs,baseKV
1,2586,0,1.1,0.9,0,0,345
2,1917,0,1.1,0.9,0,0,345
3,2744,0,1.1,0.9,0,0,345
4,538,0,1.1,0.9,0,0,345
5,1295,0,1.1,0.9,0,0,345
6,2358,0,1.1,0.9,0,0,345
7,2216,0,1.1,0.9,0,0,345
8,630,0,1.1,0.9,0,0,345
9,1388,0,1.1,0.9,0,0,345
10,9397,0,1.1,0.9,0,0,345
11,5214,0,1.1,0.9,0,0,345
